x()	y()	
0.805	30.7	
0.930	25.4	
1.102	57.2	
1.232	44.0	
1.406	59.3	
1.535	81.5	
1.710	99.5	
1.809	120.6	
1.936	134.3	
2.105	131.5	
2.232	131.1	
2.414	134.0	
2.536	137.0	
2.718	143.6	
2.842	147.9	
2.979	158.3	
3.106	162.4	
3.285	170.6	
3.412	178.4	
3.585	-173.3	
3.710	-169.8	
3.895	-160.0	
4.017	-151.2	
